id,resource_type,locator,translatable_string
8775032d-4dbb-4bb4-a2cc-a5ccade14d85,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[0].text","""Jasmine"""
0fca2f12-4921-49a4-8709-d24a1807cf5b,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[1].text","""Lavender"""
f40e7fa8-4652-42a2-ad29-1f259630984d,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[2].text","""Lily"""
9613b665-a438-4d21-b3ff-d4a83e28eb17,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[3].text","""Lotus"""
a491b364-13b3-4953-84a0-899ffda574b7,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[4].text","""Rose"""
c4b8255d-c91d-495c-84f4-fa8add21787f,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[5].text","""Sunflower"""
807e17ea-415b-4d55-9066-cb6d5e93ca3b,EXAMPLE_TEXT,"workspace.intents[intent=""Flowers""].examples[6].text","""Tulip"""
8012162e-fb34-4eb4-b539-78f6557a6d8e,EXAMPLE_TEXT,"workspace.intents[intent=""Good_bye""].examples[0].text","""by"""
117ef0f7-3d88-44c7-b0ff-1d194b8d4be1,EXAMPLE_TEXT,"workspace.intents[intent=""Good_bye""].examples[1].text","""Bye"""
e02aec8b-e11f-49f1-bff4-82d943862198,EXAMPLE_TEXT,"workspace.intents[intent=""Good_bye""].examples[2].text","""Good Bye"""
02e7b9dc-b308-4de2-b7dd-56efb500c62c,EXAMPLE_TEXT,"workspace.intents[intent=""Good_bye""].examples[3].text","""Have a nice day"""
a1ff1d65-2fe5-45ad-9d17-e6a309956173,EXAMPLE_TEXT,"workspace.intents[intent=""Good_bye""].examples[4].text","""See you"""
44e468ea-c74c-4751-81c8-c71920a49d9a,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[0].text","""God Mrning"""
0122e019-e05c-48e6-a2f0-9d1a922a2e2f,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[1].text","""Good Afternoon"""
53f7bb05-e2c6-459d-8873-35f6a808c1e6,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[2].text","""Good Evening"""
d46a3453-f05b-446e-8699-5faf93382f6d,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[3].text","""Good Morning"""
95295343-e05d-4989-bd80-b8a571739d6a,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[4].text","""Good Night"""
4fb0b127-2a6b-462c-b58b-9117a3a6fa52,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[5].text","""Hello"""
fe5740a3-e3cd-4756-a1c4-ce8038602118,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[6].text","""Hi"""
235fc46b-a7dc-4287-a024-376bfd96f534,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[7].text","""Hii"""
2466681e-7615-44b0-90fe-fde31b88bd29,EXAMPLE_TEXT,"workspace.intents[intent=""Greeting""].examples[8].text","""Namaste"""
db545553-9ad4-46a4-be86-bbf0d3c62b09,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[0].text","""Are you open on Christmas' Day?"""
a154b5ae-ed1f-4b46-aff7-04cd0a0cf53e,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[1].text","""Are you open on Saturdays?"""
c3349c45-8322-41c2-afa8-3e814a376bee,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[2].text","""Are you open on Sundays?"""
a1edbd54-24b8-4d0a-92e0-e36f7a9f9fba,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[3].text","""Shop timing in India?"""
b346881a-44d2-4ef8-b5b8-28b23ca1c583,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[4].text","""what are the hours of operation for your Pune store"""
b55bcb30-4e58-4257-9bbb-d4de3bfc776d,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[5].text","""what are you hours of operation in Mumbai"""
0454bbff-e0e4-4f1a-a0e4-e936800317cb,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[6].text","""What are your hours?"""
fc4889b0-0100-4ee9-8a6a-acf37a9ffcdf,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[7].text","""What are your hours of operation?"""
7fca12a0-262b-44c6-8c3c-216e6b9fa7d1,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[8].text","""What are your shop timing?"""
92edec90-5207-404a-915e-0c8061e0f7e3,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[9].text","""What days are you closed on?"""
bcbc1284-2625-4cc5-bc30-83514db17cde,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[10].text","""What time are you open until?"""
3a308ba2-64e9-45af-8c10-848e0c196a37,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[11].text","""When are you open"""
79822231-8719-4ec4-83bd-ff763e2ff3b1,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[12].text","""When do you close"""
5b6876bd-1ced-46db-9bbc-14f72e3102dc,EXAMPLE_TEXT,"workspace.intents[intent=""hours_info""].examples[13].text","""When do you open"""
8be4def2-ae55-43cc-8053-e315096f5dff,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[0].text","""Do you have a flower shop in Pune"""
fb2ef858-285a-445e-83d4-cfd451acde5e,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[1].text","""Give me a list of locations"""
8c4b65bb-5cf2-4c88-83c0-f1dc192a72a6,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[2].text","""List of location"""
9daaeec9-245c-4f44-9328-e66cde12eb8b,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[3].text","""list of your locations"""
7296d995-d0a2-49eb-a6ae-e8cb64aba58b,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[4].text","""Locations in Australia"""
5984a112-33bd-440d-9e57-f88b516a2356,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[5].text","""Locations in India"""
48169cdc-4a2d-460e-873c-5bced68b841f,EXAMPLE_TEXT,"workspace.intents[intent=""location_info""].examples[6].text","""What are your locations?"""
